titles,details,hrefs,date,reference,term,year,page,country,party,file,n_results,reference_clean,content,href_answer,reference_page,rule,directed_at
Steel tariffs,WRITTEN QUESTION  by Eluned Morgan (PSE),http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2005-2714+0+DOC+XML+V0//EN&language=EN,12-07-2005,E-2714/2005,2004-2009,2005,13,unitedkingdom,Socialist Group in the European Parliament,2004-2009_2005_unitedkingdom_socialist-group-in-the-european-parliament_13.html,258,E-2714_2005,"

Can the Commission explain the current situation in relation to steel tariffs?

What is the Commission's view of the OECD blueprint for negotiations? 

Will the Commission confirm that it will continue to stand firm against America on this issue?",/sides/getAllAnswers.do?reference=E-2005-2714&language=EN,E-2714/05,NA,NA
Airline blacklist,Question for written answer E-006262/2012to the CommissionRule 117Alexander Mirsky (S&D),https://www.europarl.europa.eu/doceo/document/E-7-2012-006262_EN.html,25-06-2012,E-006262/2012,2009-2014,2012,1,latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2009-2014_2012_latvia_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_1.html,21,E-006262_2012,"
There is an EU blacklist banning certain international airlines from operating in the European Union.
According to what criteria and regulations are airlines placed on the blacklist?
Can a blacklisted airline that improves its safety and service record be removed from the blacklist?",/doceo/document/E-7-2012-006262-ASW_EN.html,E-006262/2012,117,commission
Barcelona summit commitment on childcare,WRITTEN QUESTION  by Catherine Stihler (PSE) to the Council,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2007-0980+0+DOC+XML+V0//EN&language=EN,16-02-2007,E-0980/2007,2004-2009,2007,28,unitedkingdom,Socialist Group in the European Parliament,2004-2009_2007_unitedkingdom_socialist-group-in-the-european-parliament_28.html,313,E-0980_2007,"

Can the Council update Parliament on the progress which is being made to achieve the 2002 Barcelona summit commitments to provide childcare places by 2010 for a third of children under three and 90 % of children aged three to six? What actions are being taken to reinforce national policies to increase early childhood childcare provision?",/sides/getAllAnswers.do?reference=E-2007-0980&language=EN,E-0980/07,NA,council
"Letter from the leader of the jihadist group TTP to Malala Yousafzai, in Pakistan",Question for written answer E-008962/2013to the CommissionRule 117Lorenzo Fontana (EFD),https://www.europarl.europa.eu/doceo/document/E-7-2013-008962_EN.html,22-07-2013,E-008962/2013,2009-2014,2013,28,italy,Europe of freedom and democracy Group,2009-2014_2013_italy_europe-of-freedom-and-democracy-group_28.html,948,E-008962_2013,"
According to recent news reports, Adnan Rasheed, leader of the Pakistani jihadist group TTP, has sent a letter to Malala Yousafzai, the Pakistani girl who was shot several times by a Taliban gunman at the end of last year, but who survived thanks to emergency medical treatment. Sixteen-year-old Malala was targeted by the extremist for describing the suicide attacks that are carried out in the Swat valley and in particular in her hometown of Mingora, destroying a number of schools and other public buildings.
In the letter, Adnan Rasheed justifies the Taliban attacks by claiming that Malala was shot not because of her love of school and studying, but because of the ‘smear campaign’ that she ran against the Taliban.
Moreover, Pakistan ranks only slightly above sub-Saharan Africa with regard to female education, since a Unesco study published last year reveals that around 62% of Pakistani girls have no access to primary education.
Lastly, according to United Nations Secretary-General Ban Ki-moon, ‘The terrorists showed what frightens them most: a girl with a book. […] Nowhere in the world should it be an act of bravery for a young girl to go to school.’
— Is the Commission aware of Malala Yousafzai’s current living conditions?
— Will it establish programmes, now and in the future, to safeguard the right of women to study in countries in which they are denied access to education?",/doceo/document/E-7-2013-008962-ASW_EN.html,E-008962-13,117,commission
FTT and naked credit default swaps,Question for written answer E-011942/2011to the CommissionRule 117Bendt Bendtsen (PPE),https://www.europarl.europa.eu/doceo/document/E-7-2011-011942_EN.html,07-12-2011,E-011942/2011,2009-2014,2011,1,denmark,Group of the European People's Party (Christian Democrats),2009-2014_2011_denmark_group-of-the-european-people-s-party--christian-democrats-_1.html,40,E-011942_2011,"
At its November plenary session, the European Parliament adopted the Commission’s proposal for a regulation on short selling and certain aspects of credit default swaps (COM(2010) 0482). The outcome of the negotiations involves a ban on trading in naked credit default swaps. Advocates of this ban argue, inter alia, that it has a dampening effect on the number of damaging automated computer transactions.
In its impact assessment for its proposal to introduce a financial transactions tax, the Commission writes that the number of automated computer transactions will fall as a result of this proposal.
1. Is the Commission able to assess whether there is an overlap between the transactions concerned by the abovementioned regulation and the proposed financial transactions tax?
2. What other initiatives will the Commission take to restrict automated computer transactions?",/doceo/document/E-7-2011-011942-ASW_EN.html,E-011942/2011,117,commission
Independent trade unions in Iran,WRITTEN QUESTION  by Robert Kilroy-Silk (NI) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2007-4467+0+DOC+XML+V0//EN&language=EN,11-09-2007,E-4467/2007,2004-2009,2007,18,unitedkingdom,Non-attached Members,2004-2009_2007_unitedkingdom_non-attached-members_18.html,593,E-4467_2007,"

Further to the Commission’s answer to my Question E‑4031/07, will it indicate what the response of the Iranian Government was to the Commission’s call for it to ‘fully respect the right to freedom of expression and freedom of association as enshrined in the international covenants it has ratified’?",/sides/getAllAnswers.do?reference=E-2007-4467&language=EN,E-4467/07,NA,commission
How can the leadership of the USA be called to account in future for the pledges made by President Obama at the COP21 conference?,Question for written answer P-001545/2016to the CommissionRule 130Zoltán Balczó (NI),https://www.europarl.europa.eu/doceo/document/P-8-2016-001545_EN.html,23-02-2016,P-001545/2016,2014-2019,2016,2,hungary,Non-attached Members,2014-2019_2016_hungary_non-attached-members_2.html,17,P-001545_2016,"
The COP21 conference, at which commitments were entered into globally, is described as being of historic importance. One decisive set of elements in these important commitments is the USA, the pledges made by President Obama and their fulfilment. If a new presidential administration takes office, at what level can it be held to these pledges?
The judges performing the role of a constitutional court in the USA have ruled by 5:4 in favour of those preponderantly Republican-governed States and big American businesses which lodged an application against President Obama’s ambitious programme to prevent climate change. Under the Clean Power Plan, which is aimed at creating ‘clean power stations’, America’s power stations would have to reduce their carbon dioxide emissions drastically by 2030 — by 32% in relation to the 2005 level. According to a brief statement by the judges, the implementation of the regulations is to be suspended until the legal proceedings have been completed. In view of this year’s presidential elections and the Republican majority within the court, it is very likely that the proceedings will continue until the very end of January 2017, until the swearing-in of the new President, so it will probably be the new presidential administration that decides on the implementation of President Obama’s programme, too.
— What guarantee does the Commissioner see that the USA will fulfil the pledges made by President Obama in Paris?",/doceo/document/P-8-2016-001545-ASW_EN.html,P-001545-16,130,commission
Drugs trafficking through the Internet,Question for written answer E-007301/2014to the CommissionRule 130Elissavet Vozemberg (PPE),https://www.europarl.europa.eu/doceo/document/E-8-2014-007301_EN.html,30-09-2014,E-007301/2014,2014-2019,2014,4,greece,Group of the European People's Party (Christian Democrats),2014-2019_2014_greece_group-of-the-european-people-s-party--christian-democrats-_4.html,60,E-007301_2014,"
The recently published 2014 EU report on drugs stresses that Europe is an important destination for controlled substances and estimates that 1 in 4 adults in the EU has used an illegal substance at some time in his or her life. Furthermore, according to statistics, every year approximately one million seizures of illegal substances are reported in Europe.
However, the Internet is characterised as a growing market: it plays an increasingly important role as regards the means by which drugs are being trafficked, since it is becoming more and more common for drugs to be sold to traffickers and consumers via the ‘Deep Web’ (websites that maintain the anonymity of the users whose identity is not revealed by search engines). At the same time, it is becoming extremely difficult to control this trafficking, as web hosting providers and payment processing service providers may be located in a different country.
In view of the above, will the Commission state:
—
 Does it have any information showing the extent of trafficking in drugs and other psychotropic substances in the EU via the Internet?
—
 Since, due to austerity or fiscal consolidation programmes, many Member States have made spending cuts in the areas of health, public order and security, does it consider that sufficient funds are available for programmes and services related to drugs in the Member States (prevention, treatment/rehabilitation, social integration)?
",/doceo/document/E-8-2014-007301-ASW_EN.html,E-007301-14,130,commission
VP/HR - UK military exports to Bahrain,"Question for written answer E-003231/12by Pino Arlacchi (S&D), Andrea Cozzolino (S&D), Frieda Brepoels (Verts/ALE), Ivo Vajgl (ALDE), Oreste Rossi (EFD), Sabine Lösing (GUE/NGL), Raül Romeva i Rueda (Verts/ALE), Willy Meyer (GUE/NGL), Keith Taylor (Verts/ALE), Ana Gomes (S&D), Helmut Scholz (GUE/NGL), Rui Tavares (Verts/ALE), Mariya Nedelcheva (PPE) and Sergio Paolo Frances Silvestris (PPE)to the Commission",https://www.europarl.europa.eu/doceo/document/E-7-2012-003231_EN.html,26-03-2012,E-003231/2012,2009-2014,2012,1,belgium,Europe of freedom and democracy Group,2009-2014_2012_belgium_europe-of-freedom-and-democracy-group_1.html,20,E-003231_2012,"
Newly released official figures have disclosed that, despite the recent violent crackdown in Bahrain, the British Government has approved, over the past months, the sale of military equipment to that country.
In February 2011, following the exposure of questionable arms sales to Bahrain, Libya and Egypt, the British Government announced a review of its arms export licensing policy. In March 2011, accordingly, the UK declared that it had revoked 122 licences, including 44 covering military exports to Bahrain.
However, in the case of Bahrain the UK quickly resumed its arms transfers. By June 2011 it was back to business as usual, ignoring the continuing violence against civilians and arrests of activists in the country.
The latest statistics available, covering the third quarter of 2011 and published on the website of the UK’s Department for Business, Innovation, and Skills, show that the UK has licensed military exports to Bahrain — including gun silencers, weapon sights, rifles, naval guns and technology for artillery — to the value of GBP 1.3 million.
The criteria of the EU common position on arms exports require Member States to refuse a licence if there is a ‘clear risk’ that ‘the military technology or equipment to be exported might be used for internal repression’.

In view of the above:
1.
Is the Vice-President/High Representative aware of the UK’s sales of military equipment to Bahrain, which run contrary to the EU common position on arms exports?
2.
What measures will the Vice-President/High Representative take to put an end to this situation and promote stricter implementation by Member States of the criteria of the EU common position?
",/doceo/document/E-7-2012-003231-ASW_EN.html,E-003231/2012,NA,commission
Unacceptable law on putting down stray dogs in Romania,Question for written answer E-011392/2011to the CommissionRule 117Andrea Zanoni (ALDE),https://www.europarl.europa.eu/doceo/document/E-7-2011-011392_EN.html,24-11-2011,E-011392/2011,2009-2014,2011,2,italy,Group of the Alliance of Liberals and Democrats for Europe,2009-2014_2011_italy_group-of-the-alliance-of-liberals-and-democrats-for-europe_2.html,177,E-011392_2011,"
On 22 November 2011 the Romanian Parliament adopted a new national law giving the country’s mayors greater powers to decide how to deal with stray dogs. To combat the problem of strays, the new law introduces the possibility of sick, aggressive or dangerous dogs being put down within only three days of capture. The procedures for local councils to take this decision are not specified, and the concept of ‘public consultation’ on putting down dogs that are not sick or dangerous after 30 days remains vague. Promulgation of the law by the Romanian President, Traian Băsescu, is now awaited.
International animal charities such as Save the dogs, Four Paws and CAROdog maintain that the Romanian Parliament’s decision is unjustified and is guided only by economic interests. According to the WHO Expert Committee on Rabies, Eighth Report (Geneva 1992, Series No 824, p. 31), ‘There is no evidence that removal of dogs has ever had a significant impact on dog population densities or the spread of rabies.’

—
Does the Commission consider that this law is in conflict with Article 13 of the Lisbon Treaty, which defines animals as ‘sentient beings’?
—
What is the Commission’s opinion of this law in the light of written declaration 26/2011 ‘on dog population management in the European Union’ adopted by the European Parliament on 13 October 2011, which expressly ‘calls on the Member States to adopt comprehensive dog population management strategies which include measures such as dog control and anti-cruelty laws’?
—
What concrete action does the Commission intend to take on the protection of dogs in Romania as part of the 2013-2018 strategy for animal welfare set for the end of the year?
",/doceo/document/E-7-2011-011392-ASW_EN.html,E-011392/2011,117,commission
